"time","EDP","EDP( volume )"
"2003-10-27 00:00","1.9205335","4126078"
"2003-10-28 00:00","1.9109308","6698690"
"2003-10-29 00:00","1.8917255","1549004"
"2003-10-30 00:00","1.8821228","5356648"
"2003-10-31 00:00","1.8725201","5949040"
"2003-11-03 00:00","1.8725201","4080119"
"2003-11-04 00:00","1.8821228","2665379"
"2003-11-05 00:00","1.8821228","2323866"
"2003-11-06 00:00","1.8725201","1539878"
"2003-11-07 00:00","1.9205335","4745575"
"2003-11-10 00:00","1.9013281","3725679"
"2003-11-11 00:00","1.8917255","1778260"
"2003-11-12 00:00","1.9301361","9584618"
"2003-11-13 00:00","1.9205335","3777080"
"2003-11-14 00:00","1.9493415","11742021"
"2003-11-17 00:00","1.9205335","2900766"
"2003-11-18 00:00","1.9109308","5910582"
"2003-11-19 00:00","1.9301361","4379133"
"2003-11-20 00:00","1.9397388","5329590"
"2003-11-21 00:00","1.9301361","4119599"
"2003-11-24 00:00","1.9205335","3849666"
"2003-11-25 00:00","1.9205335","4946467"
"2003-11-26 00:00","1.9397388","6410749"
"2003-11-27 00:00","1.9493415","3284266"
"2003-11-28 00:00","1.9973548","15584661"
"2003-12-01 00:00","1.9685468","9168026"
"2003-12-02 00:00","1.9685468","7370009"
"2003-12-03 00:00","1.9493415","9012818"
"2003-12-04 00:00","1.9493415","10186760"
"2003-12-05 00:00","1.9493415","7700442"
"2003-12-08 00:00","1.9781495","3843452"
"2003-12-09 00:00","1.9685468","7041294"
"2003-12-10 00:00","1.9781495","3606376"
"2003-12-11 00:00","1.9589442","2813826"
"2003-12-12 00:00","1.9589442","3878979"
"2003-12-15 00:00","1.9781495","3733670"
"2003-12-16 00:00","1.9973548","14519232"
"2003-12-17 00:00","1.9589442","10278097"
"2003-12-18 00:00","1.9685468","6768347"
"2003-12-19 00:00","1.9685468","8057489"
"2003-12-22 00:00","1.9877522","3728646"
"2003-12-23 00:00","2.0069575","6054171"
"2003-12-24 00:00","2.0069575","2151714"
"2003-12-29 00:00","1.9877522","3871319"
"2003-12-30 00:00","2.0069575","2051277"
"2003-12-31 00:00","2.0069575","1781574"
"2004-01-02 00:00","2.0453682","7083220"
"2004-01-05 00:00","2.0453682","5321531"
"2004-01-06 00:00","2.0261628","6476246"
"2004-01-07 00:00","2.0357655","6228625"
"2004-01-08 00:00","2.0357655","14567362"
"2004-01-09 00:00","2.0261628","6285419"
"2004-01-12 00:00","2.0261628","5029240"
"2004-01-13 00:00","1.9877522","7632900"
"2004-01-14 00:00","1.9973548","7142945"
"2004-01-15 00:00","1.9973548","4074783"
"2004-01-16 00:00","2.0069575","3078462"
"2004-01-19 00:00","1.9973548","5383451"
"2004-01-20 00:00","1.9685468","11767248"
"2004-01-21 00:00","1.9493415","9756340"
"2004-01-22 00:00","1.9685468","6659151"
"2004-01-23 00:00","1.9973548","4641727"
"2004-01-26 00:00","1.9973548","4422828"
"2004-01-27 00:00","2.0069575","9935248"
"2004-01-28 00:00","1.9877522","4915486"
"2004-01-29 00:00","1.9685468","8004098"
"2004-01-30 00:00","2.0549708","32952330"
"2004-02-02 00:00","2.0453682","9886081"
"2004-02-03 00:00","2.0453682","6508691"
"2004-02-04 00:00","2.0357655","12066676"
"2004-02-05 00:00","2.0549708","7908295"
"2004-02-06 00:00","2.0837788","15009391"
"2004-02-09 00:00","2.0933815","16102088"
"2004-02-10 00:00","2.1125868","12242797"
"2004-02-11 00:00","2.1317922","7709243"
"2004-02-12 00:00","2.1029842","7507050"
"2004-02-13 00:00","2.1125868","13099155"
"2004-02-16 00:00","2.1413948","7579808"
"2004-02-17 00:00","2.1509975","6971405"
"2004-02-18 00:00","2.1798055","13115198"
"2004-02-19 00:00","2.1894082","3256307"
"2004-02-20 00:00","2.1702028","9068121"
"2004-02-23 00:00","2.1894082","13518916"
"2004-02-24 00:00","2.2278188","8581793"
"2004-02-25 00:00","2.1990108","18009557"
"2004-02-26 00:00","2.1702028","8725069"
"2004-02-27 00:00","2.1894082","8741263"
"2004-03-01 00:00","2.2086135","6602229"
"2004-03-02 00:00","2.2278188","17854134"
"2004-03-03 00:00","2.2854348","24390126"
"2004-03-04 00:00","2.2566268","6390456"
"2004-03-05 00:00","2.3142428","14100866"
"2004-03-08 00:00","2.3910642","22242507"
"2004-03-09 00:00","2.3430508","9398656"
"2004-03-10 00:00","2.3238455","8578662"
"2004-03-11 00:00","2.2470242","23519303"
"2004-03-12 00:00","2.2758322","13105896"
"2004-03-15 00:00","2.1798055","17236863"
"2004-03-16 00:00","2.1990108","11601514"
"2004-03-17 00:00","2.2278188","17613965"
"2004-03-18 00:00","2.2086135","6951831"
"2004-03-19 00:00","2.1894082","14980723"
"2004-03-22 00:00","2.1509975","13299735"
"2004-03-23 00:00","2.1317922","20131006"
"2004-03-24 00:00","2.1125868","16623191"
"2004-03-25 00:00","2.1606002","12525028"
"2004-03-26 00:00","2.1894082","5549297"
"2004-03-29 01:00","2.1606002","7668131"
"2004-03-30 01:00","2.1798055","3155765"
"2004-03-31 01:00","2.2086135","11543153"
"2004-04-01 01:00","2.2470242","7927079"
"2004-04-02 01:00","2.2950375","16012150"
"2004-04-05 01:00","2.2758322","9526500"
"2004-04-06 01:00","2.2758322","7485298"
"2004-04-07 01:00","2.3142428","9788284"
"2004-04-08 01:00","2.3142428","2564624"
"2004-04-13 01:00","2.3430508","7246448"
"2004-04-14 01:00","2.3238455","4858324"
"2004-04-15 01:00","2.3046402","22637281"
"2004-04-16 01:00","2.3334482","12372487"
"2004-04-19 01:00","2.3238455","7877824"
"2004-04-20 01:00","2.3142428","8723303"
"2004-04-21 01:00","2.3142428","10233539"
"2004-04-22 01:00","2.2950375","7594281"
"2004-04-23 01:00","2.3046402","18053952"
"2004-04-26 01:00","2.2662295","25324869"
"2004-04-27 01:00","2.2086135","11321419"
"2004-04-28 01:00","2.2278188","4931068"
"2004-04-29 01:00","2.2374215","5398509"
"2004-04-30 01:00","2.1894082","8335538"
"2004-05-03 01:00","2.2086135","5747223"
"2004-05-04 01:00","2.2086135","5747808"
"2004-05-05 01:00","2.2374215","10797829"
"2004-05-06 01:00","2.2182162","13168759"
"2004-05-07 01:00","2.1990108","19293354"
"2004-05-10 01:00","2.1702028","8961297"
"2004-05-11 01:00","2.1990108","10293969"
"2004-05-12 01:00","2.1798055","5190993"
"2004-05-13 01:00","2.1798055","6971313"
"2004-05-14 01:00","2.1894082","9700664"
"2004-05-17 01:00","2.1029842","14723606"
"2004-05-18 01:00","2.1029842","12980460"
"2004-05-19 01:00","2.1221895","10443340"
"2004-05-20 01:00","2.1221895","19553070"
"2004-05-21 01:00","2.1221895","3255241"
"2004-05-24 01:00","2.1221895","6439266"
"2004-05-25 01:00","2.1125868","4046111"
"2004-05-26 01:00","2.1125868","5499368"
"2004-05-27 01:00","2.1413948","8212834"
"2004-05-28 01:00","2.1317922","8533585"
"2004-05-31 01:00","2.1317922","2328632"
"2004-06-01 01:00","2.1317922","4238581"
"2004-06-02 01:00","2.1317922","1709545"
"2004-06-03 01:00","2.1606002","7876876"
"2004-06-04 01:00","2.1413948","3685962"
"2004-06-07 01:00","2.1798055","3939207"
"2004-06-08 01:00","2.1317922","14354610"
"2004-06-09 01:00","2.1509975","2649015"
"2004-06-10 01:00","2.1509975","1037861"
"2004-06-11 01:00","2.1509975","1441040"
"2004-06-14 01:00","2.1221895","2887067"
"2004-06-15 01:00","2.1509975","3963193"
"2004-06-16 01:00","2.1606002","4491939"
"2004-06-17 01:00","2.1606002","5015787"
"2004-06-18 01:00","2.1606002","10114958"
"2004-06-21 01:00","2.1702028","14546758"
"2004-06-22 01:00","2.1702028","24724206"
"2004-06-23 01:00","2.1990108","18419499"
"2004-06-24 01:00","2.1894082","18255753"
"2004-06-25 01:00","2.1798055","5671455"
"2004-06-28 01:00","2.2278188","9592773"
"2004-06-29 01:00","2.1990108","7689550"
"2004-06-30 01:00","2.2086135","5941588"
"2004-07-01 01:00","2.2182162","5875546"
"2004-07-02 01:00","2.2182162","3702061"
"2004-07-05 01:00","2.1798055","8096764"
"2004-07-06 01:00","2.1798055","6031448"
"2004-07-07 01:00","2.1894082","5885407"
"2004-07-08 01:00","2.1894082","3764433"
"2004-07-09 01:00","2.2086135","3194103"
"2004-07-12 01:00","2.2470242","10613906"
"2004-07-13 01:00","2.2566268","9726275"
"2004-07-14 01:00","2.2566268","8199481"
"2004-07-15 01:00","2.2566268","5515122"
"2004-07-16 01:00","2.2854348","14440710"
"2004-07-19 01:00","2.2662295","8353386"
"2004-07-20 01:00","2.2758322","9326133"
"2004-07-21 01:00","2.2758322","9323060"
"2004-07-22 01:00","2.2854348","6298970"
"2004-07-23 01:00","2.2758322","8037895"
"2004-07-26 01:00","2.2470242","5015648"
"2004-07-27 01:00","2.2566268","4902918"
"2004-07-28 01:00","2.2758322","11528460"
"2004-07-29 01:00","2.2470242","41676523"
"2004-07-30 01:00","2.1317922","40122896"
"2004-08-02 01:00","2.2086135","11270723"
"2004-08-03 01:00","2.1798055","4483795"
"2004-08-04 01:00","2.1509975","5259275"
"2004-08-05 01:00","2.1606002","8352251"
"2004-08-06 01:00","2.1509975","6909762"
"2004-08-09 01:00","2.2086135","14837322"
"2004-08-10 01:00","2.1990108","5393581"
"2004-08-11 01:00","2.1798055","5741734"
"2004-08-12 01:00","2.1894082","5401427"
"2004-08-13 01:00","2.1990108","4274596"
"2004-08-16 01:00","2.2086135","3815397"
"2004-08-17 01:00","2.1798055","3252348"
"2004-08-18 01:00","2.1990108","3374803"
"2004-08-19 01:00","2.1894082","1519856"
"2004-08-20 01:00","2.2086135","4364663"
"2004-08-23 01:00","2.1894082","5353230"
"2004-08-24 01:00","2.1990108","3374941"
"2004-08-25 01:00","2.1894082","3580876"
"2004-08-26 01:00","2.1798055","5547685"
"2004-08-27 01:00","2.1798055","3555032"
"2004-08-30 01:00","2.1990108","4663791"
"2004-08-31 01:00","2.1894082","4230744"
"2004-09-01 01:00","2.1798055","4764728"
"2004-09-02 01:00","2.1894082","5086777"
"2004-09-03 01:00","2.1894082","11592358"
"2004-09-06 01:00","2.1413948","16980800"
"2004-09-07 01:00","2.1606002","15829936"
"2004-09-08 01:00","2.1990108","14074955"
"2004-09-09 01:00","2.2182162","9964508"
"2004-09-10 01:00","2.2278188","10363804"
"2004-09-13 01:00","2.2470242","10892469"
"2004-09-14 01:00","2.2662295","4494149"
"2004-09-15 01:00","2.2662295","7608610"
"2004-09-16 01:00","2.2470242","6713363"
"2004-09-17 01:00","2.2662295","8240072"
"2004-09-20 01:00","2.2758322","7078134"
"2004-09-21 01:00","2.2566268","4692299"
"2004-09-22 01:00","2.2758322","8620073"
"2004-09-23 01:00","2.2758322","6826083"
"2004-09-24 01:00","2.2758322","6506517"
"2004-09-27 01:00","2.2662295","5491031"
"2004-09-28 01:00","2.2182162","13363307"
"2004-09-29 01:00","2.2278188","17740441"
"2004-09-30 01:00","2.2566268","10320177"
"2004-10-01 01:00","2.2374215","9726467"
"2004-10-04 01:00","2.2662295","15301340"
"2004-10-05 01:00","2.2662295","3812101"
"2004-10-06 01:00","2.2758322","9304449"
"2004-10-07 01:00","2.2278188","6829654"
"2004-10-08 01:00","2.2470242","10572105"
"2004-10-11 01:00","2.2182162","6161193"
"2004-10-12 01:00","2.2566268","5218786"
"2004-10-13 01:00","2.2278188","10675206"
"2004-10-14 01:00","2.2374215","3370334"
"2004-10-15 01:00","2.2182162","6646772"
"2004-10-18 01:00","2.2470242","2455073"
"2004-10-19 01:00","2.2374215","6179990"
"2004-10-20 01:00","2.2470242","3770690"
"2004-10-21 01:00","2.2566268","3645343"
"2004-10-22 01:00","2.2662295","5540951"
"2004-10-25 01:00","2.2182162","8283115"
"2004-10-26 01:00","2.1798055","19470082"
"2004-10-27 01:00","2.2182162","8296257"
"2004-10-28 01:00","2.2278188","3532842"
"2004-10-29 01:00","2.2278188","3171250"
"2004-11-01 00:00","2.2470242","3218376"
"2004-11-02 00:00","2.2758322","8974535"
"2004-11-03 00:00","2.2950375","12407513"
"2004-11-04 00:00","2.3046402","8059415"
"2004-11-05 00:00","2.2566268","10909780"
"2004-11-08 00:00","2.2662295","12204722"
"2004-11-09 00:00","2.3","9154727"
"2004-11-10 00:00","2.38","25438766"
"2004-11-11 00:00","2.35","13729659"
"2004-11-12 00:00","2.33","10312378"
"2004-11-15 00:00","2.26","26694613"
"2004-11-16 00:00","2.21","38760182"
"2004-11-17 00:00","2.3","35025049"
"2004-11-18 00:00","2.27","20288235"
"2004-11-19 00:00","2.25","24512409"
"2004-11-22 00:00","2.28","10757540"
"2004-11-23 00:00","2.26","4941395"
"2004-11-24 00:00","2.26","6207323"
"2004-11-25 00:00","2.26","4632574"
"2004-11-26 00:00","2.28","4493530"
"2004-11-29 00:00","2.24","8814242"
"2004-11-30 00:00","2.23","11955814"
"2004-12-01 00:00","2.23","22275288"
"2004-12-02 00:00","2.21","13928612"
"2004-12-03 00:00","2.21","9724417"
"2004-12-06 00:00","2.21","5656312"
"2004-12-07 00:00","2.22","15405171"
"2004-12-08 00:00","2.23","13498039"
"2004-12-09 00:00","2.22","11194861"
"2004-12-10 00:00","2.21","15120813"
"2004-12-13 00:00","2.23","6715211"
"2004-12-14 00:00","2.25","8227809"
"2004-12-15 00:00","2.28","12552807"
"2004-12-16 00:00","2.26","6409133"
"2004-12-17 00:00","2.23","8413201"
"2004-12-20 00:00","2.25","4473844"
"2004-12-21 00:00","2.25","11778064"
"2004-12-22 00:00","2.23","12098459"
"2004-12-23 00:00","2.22","6097293"
"2004-12-24 00:00","2.23","911488"
"2004-12-27 00:00","2.22","3628870"
"2004-12-28 00:00","2.22","2018505"
"2004-12-29 00:00","2.23","5201679"
"2004-12-30 00:00","2.23","6288357"
"2004-12-31 00:00","2.23","2337461"
"2005-01-03 00:00","2.22","3789206"
"2005-01-04 00:00","2.25","12157895"
"2005-01-05 00:00","2.26","10913200"
