Year|City|Drought|max_avg_temp_month|max_avg_temp|Days with Heat Waves|Energy Consumption (GWh)|Production Source|Energy Production (GWh)|Produtividade aparente do trabalho
1995|Viana do Castelo|227.0|28.6|21.0|31.0|29237.207072|Total|33264.0|18177.0
1995|Viana do Castelo|227.0|28.6|21.0|31.0|29237.207072|Eolic|16.0|18177.0
1995|Viana do Castelo|227.0|28.6|21.0|31.0|29237.207072|Geothermal|42.0|18177.0
1995|Viana do Castelo|227.0|28.6|21.0|31.0|29237.207072|Hydric|8454.0|18177.0
1995|Viana do Castelo|227.0|28.6|21.0|31.0|29237.207072|Thermal|24751.0|18177.0
1995|Viana do Castelo|227.0|28.6|21.0|31.0|29237.207072|Photovoltaic|1.0|18177.0
1995|Bragança|236.0|30.0|19.5|41.0|29237.207072|Total|33264.0|18177.0
1995|Bragança|236.0|30.0|19.5|41.0|29237.207072|Eolic|16.0|18177.0
1995|Bragança|236.0|30.0|19.5|41.0|29237.207072|Geothermal|42.0|18177.0
1995|Bragança|236.0|30.0|19.5|41.0|29237.207072|Hydric|8454.0|18177.0
1995|Bragança|236.0|30.0|19.5|41.0|29237.207072|Thermal|24751.0|18177.0
1995|Bragança|236.0|30.0|19.5|41.0|29237.207072|Photovoltaic|1.0|18177.0
1995|Porto|205.0|27.1|19.9|21.0|29237.207072|Total|33264.0|18177.0
1995|Porto|205.0|27.1|19.9|21.0|29237.207072|Eolic|16.0|18177.0
1995|Porto|205.0|27.1|19.9|21.0|29237.207072|Geothermal|42.0|18177.0
1995|Porto|205.0|27.1|19.9|21.0|29237.207072|Hydric|8454.0|18177.0
1995|Porto|205.0|27.1|19.9|21.0|29237.207072|Thermal|24751.0|18177.0
1995|Porto|205.0|27.1|19.9|21.0|29237.207072|Photovoltaic|1.0|18177.0
1995|Castelo Branco|251.0|32.6|21.9|13.0|29237.207072|Total|33264.0|18177.0
1995|Castelo Branco|251.0|32.6|21.9|13.0|29237.207072|Eolic|16.0|18177.0
1995|Castelo Branco|251.0|32.6|21.9|13.0|29237.207072|Geothermal|42.0|18177.0
1995|Castelo Branco|251.0|32.6|21.9|13.0|29237.207072|Hydric|8454.0|18177.0
1995|Castelo Branco|251.0|32.6|21.9|13.0|29237.207072|Thermal|24751.0|18177.0
1995|Castelo Branco|251.0|32.6|21.9|13.0|29237.207072|Photovoltaic|1.0|18177.0
1995|Lisboa|261.0|29.5|22.1|14.0|29237.207072|Total|33264.0|18177.0
1995|Lisboa|261.0|29.5|22.1|14.0|29237.207072|Eolic|16.0|18177.0
1995|Lisboa|261.0|29.5|22.1|14.0|29237.207072|Geothermal|42.0|18177.0
1995|Lisboa|261.0|29.5|22.1|14.0|29237.207072|Hydric|8454.0|18177.0
1995|Lisboa|261.0|29.5|22.1|14.0|29237.207072|Thermal|24751.0|18177.0
1995|Lisboa|261.0|29.5|22.1|14.0|29237.207072|Photovoltaic|1.0|18177.0
1995|Beja|286.0|34.3|24.1|27.0|29237.207072|Total|33264.0|18177.0
1995|Beja|286.0|34.3|24.1|27.0|29237.207072|Eolic|16.0|18177.0
1995|Beja|286.0|34.3|24.1|27.0|29237.207072|Geothermal|42.0|18177.0
1995|Beja|286.0|34.3|24.1|27.0|29237.207072|Hydric|8454.0|18177.0
1995|Beja|286.0|34.3|24.1|27.0|29237.207072|Thermal|24751.0|18177.0
1995|Beja|286.0|34.3|24.1|27.0|29237.207072|Photovoltaic|1.0|18177.0
1995|Faro|282.0|29.7|23.1|0.0|29237.207072|Total|33264.0|18177.0
1995|Faro|282.0|29.7|23.1|0.0|29237.207072|Eolic|16.0|18177.0
1995|Faro|282.0|29.7|23.1|0.0|29237.207072|Geothermal|42.0|18177.0
1995|Faro|282.0|29.7|23.1|0.0|29237.207072|Hydric|8454.0|18177.0
1995|Faro|282.0|29.7|23.1|0.0|29237.207072|Thermal|24751.0|18177.0
1995|Faro|282.0|29.7|23.1|0.0|29237.207072|Photovoltaic|1.0|18177.0
1996|Viana do Castelo|202.0|26.7|19.9|6.0|30793.680351|Total|34520.0|18879.4
1996|Viana do Castelo|202.0|26.7|19.9|6.0|30793.680351|Eolic|21.0|18879.4
1996|Viana do Castelo|202.0|26.7|19.9|6.0|30793.680351|Geothermal|49.0|18879.4
1996|Viana do Castelo|202.0|26.7|19.9|6.0|30793.680351|Hydric|14857.0|18879.4
1996|Viana do Castelo|202.0|26.7|19.9|6.0|30793.680351|Thermal|19592.0|18879.4
